S1,S2,S3,S4,S5,S6,S7,S8,s1,s2,s3,s4,s5,s6,s7,s8,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8
0.00087731,3.41E-05,0.000798551,-0.009294872,-0.007252938,-0.000681503,-0.022571955,-0.050368792,-0.16046749,-0.019561349,0.009526915,0.008559646,-0.207237547,0.247713584,0.2641029,-0.027771381,0.017146003,0.198837032,0.052147113,-0.034494653,0.004339258,0.038945428,0.227854807,0.226495206
-0.067906769,-0.034185337,0.007324339,-0.009815732,-0.002034755,0.003547079,-0.017982346,-0.010885858,0.017328261,-0.082604082,-0.013075113,-0.031587933,-0.189748804,0.214896937,0.001485882,0.019911054,0.00389893,0.02006834,-0.026819169,-0.029209768,-0.007053869,0.034529918,0.01378755,0.098465717
-0.050702301,-0.042358606,0.004130226,-0.002104439,0.004412201,0.006532611,-0.000179644,0.003550154,0.103971123,-0.046510195,-0.043891928,-0.067057375,-0.0826075,0.044459403,0.053071379,0.010795839,0.035302244,0.02348174,-0.062701201,-0.029305231,0.001159402,0.010922253,-0.111857696,-0.005505648
0.014850552,-0.016484499,-0.005922727,0.007223076,0.003178086,0.00264404,0.015581225,0.000361402,0.110424224,0.061216357,-0.032275911,-0.026727997,0.098605476,-0.196213799,0.271800984,-0.030070683,0.078104408,0.081955713,-0.029226678,-0.016194468,0.010127151,-0.020923751,-0.148004736,-0.019281723
0.041227456,0.037556018,-0.007911673,-0.004149665,-0.008095335,-0.007966603,0.009798289,-0.003047393,0.038909561,0.109441912,0.027244873,0.010716546,0.041146203,-0.234995683,0.449878548,-0.019648187,0.039512152,0.012210736,0.023147597,0.004082924,-0.019522365,-0.050552769,-0.171133844,-0.005797526
-0.002620921,0.060604403,0.003499551,-0.021891418,-0.015043945,-0.016154103,-0.007771585,-0.000400299,-0.135819755,0.028486307,0.048566806,-0.041306485,-0.200589123,0.030871145,0.414624979,0.017314697,-0.050406498,-0.104594749,0.025766839,0.006263476,-0.057389782,-0.059742099,-0.173780009,-0.027346044
-0.051876944,0.007821772,0.009986903,-0.014537367,-0.008521977,-0.015326354,-0.015529957,0.00214494,-0.286001189,-0.080035055,-0.008727972,-0.077681744,-0.141089018,0.242418237,0.108025952,-0.024270181,-0.0694726,-0.068808926,-0.017817074,-0.011828388,-0.038614213,-0.023983665,-0.078029837,-0.038200923
-0.031702149,-0.06078337,-0.002206243,0.008669899,-1.31E-05,-0.009026313,-0.01283129,-0.001286925,-0.188452236,-0.068204913,-0.054928083,0.020584123,0.285712769,0.013433121,-0.23162655,-0.119577627,-0.00605965,0.08429034,-0.043569751,-0.024158177,0.023778534,0.048740121,0.087963697,0.000962897
0.029643481,-0.054703344,-0.014527564,0.013456761,-0.00137647,-0.003694041,-0.011322575,-0.008068217,0.093626522,0.038844528,-0.016064305,0.119960477,0.470966422,-0.405121725,-0.238504694,-0.106499744,0.02931637,0.117984392,-0.019503056,-0.016223409,0.051078827,0.101435812,0.189808436,0.041644414
0.034348717,0.003443529,-0.007382657,-0.001805607,-0.006591824,-0.001760457,-0.010364471,-0.012195646,0.179093481,0.064173948,0.034491605,0.022917901,0.084225321,-0.400393348,0.072116857,0.045801659,-0.006001262,-0.043048462,0.017987031,-0.003485832,0.018601755,0.08143981,0.183555573,0.054545106
-0.032630539,0.015619939,-0.000754914,-0.012814027,-0.006988825,-0.004298786,-0.004640986,-0.013374199,-0.069425777,-0.049083067,0.003496907,-0.16143,-0.337584269,0.046549988,0.26676077,0.140713343,-0.03689953,-0.194436932,0.02353031,-0.003833815,-0.018661867,0.002554288,0.14569759,0.069983827
-0.073604576,-0.030666943,-0.020730153,-0.014500771,-0.006631799,-0.011312442,-0.001403197,-0.015284769,-0.258585556,-0.126566996,-0.051540733,-0.142766771,-0.214108083,0.295188889,0.108001189,0.043984787,-0.018325197,-0.141361798,0.001422618,-0.012034028,-0.020188821,-0.06634337,0.089983889,0.061064587
-0.033113476,-0.056636796,-0.042909336,-0.014934817,-0.009042009,-0.016677341,-0.007494674,-0.016090091,-0.038678183,-0.021448801,-0.017674698,0.083593762,0.189822137,0.066596602,-0.13479084,-0.093738061,0.004907375,0.048317835,-0.01170413,-0.012044545,-0.005767637,-0.070380461,-0.046447681,-0.038990961
0.017037489,-0.035428792,-0.024722017,-0.007834152,-0.00704268,-0.012842588,-0.012384269,-0.009437269,0.317134149,0.141172164,0.06943281,0.204771773,0.230425289,-0.149991613,-0.154657446,-0.067344082,0.000419681,0.160154578,-0.00144833,-0.002645929,-0.002726964,-0.018347093,-0.196696223,-0.157713005
0.005553319,-0.01883534,0.015612986,0.006778832,0.000187908,-0.003944481,-0.00550356,0.002653243,0.304669822,0.137872238,0.072983484,0.061388884,-0.137913629,0.017179032,-0.035794361,0.06161727,-0.006344084,0.105894269,0.011116455,0.002479481,-0.009188092,0.027428372,-0.172785109,-0.123289624
